topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	c57bdff07a0a3a9c5eb5b1c7591e565d	And long-term programmes to build alternatives help lay the basis for future anti-nuclear campaigns .	NoArgument	train
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	3a08fdf0fe44ee79ba48a30f75577a08	Plans would be required to continue the campaign towards these or other avenues for stopping uranium mining .	NoArgument	train
nuclear energy	http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	http://web.archive.org/web/20161010062057/http://atomicinsights.com/the-left-needs-to-reconsider-its-automatic-position-against-nuclear-energy/	8c7760df4f57e3a9f4c2a47a525dfba6	They are a matter of attitude , which no amount of technical training can bring about .	NoArgument	train
nuclear energy	https://en.wikipedia.org/wiki/Nuclear_power_debate	http://web.archive.org/web/20170127104548/https://en.wikipedia.org/wiki/Nuclear_power_debate	ffa3b0d9d807214bcbf900956731cfc6	Fossil fuels receive large direct and indirect subsidies , such as tax benefits and not having to pay for the greenhouse gases they emit .	Argument_for	train
nuclear energy	http://www.triplepundit.com/special/energy-options-pros-and-cons/nuclear-energy-pros-and-cons/	http://web.archive.org/web/20160802090500/http://www.triplepundit.com:80/special/energy-options-pros-and-cons/nuclear-energy-pros-and-cons	db00ebb4068488a709c670606ee1af2f	Wind/Solar : Expensive as hell and do n’t generate alot of power , but definitely have their niche uses .	NoArgument	test
nuclear energy	https://www.cleanenergywire.org/factsheets/history-behind-germanys-nuclear-phase-out	http://web.archive.org/web/20170208214332/https://www.cleanenergywire.org/factsheets/history-behind-germanys-nuclear-phase-out	f3dbe59254948734e5478721329482dd	In July 2014 , 67 new reactors were under construction .	NoArgument	train
nuclear energy	https://en.wikipedia.org/wiki/Campaign_Against_Nuclear_Energy	http://web.archive.org/web/20161110052015/https://en.wikipedia.org/wiki/Campaign_Against_Nuclear_Energy	d2d681cbad6af3a6bd9b03fadf326099	CANE was opposed to the mining and export of Australian uranium for other than biomedical purposes .	NoArgument	test
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	ef8303e0f6b845bda299b048921f729b	Such a strategy does not simply attempt to bypass the ' macro ' level of existing structures in the way that some focusses on alternatives do , such as promoting changes in lifestyles only at the level of the individual .	NoArgument	val
nuclear energy	http://alternativeenergy.procon.org/view.answers.php?questionID=001270	http://web.archive.org/web/20150209215255/http://alternativeenergy.procon.org/view.answers.php?questionID=001270	b055e767bf5f5ebd133e028069b9da46	The number of U.S. reactors shut down for a year or longer to address numerous safety problems provides strong evidence of poor safety practices and inadequate NRC enforcement .	Argument_against	val
nuclear energy	http://www.clearpictureonline.com/SO-Nuclear%20Power.html	http://web.archive.org/web/20160801192637/http://www.clearpictureonline.com:80/SO-Nuclear%20Power.html	d45585b3d62f4f327f88d1788b5d1126	After the accident at Three Mile Island , building of nuclear power generation stopped .	Argument_against	val
nuclear energy	https://www.uow.edu.au/~bmartin/pubs/86sa.html	http://web.archive.org/web/20160623054516/http://www.uow.edu.au:80/~bmartin/pubs/86sa.html	76776c97c350f5dcd45f5d97cdb41e4d	As the nuclear power issue has been widely debated , it has become obvious to many people that the expertise of pro-nuclear scientists and engineers is tied to vested interests .	Argument_against	train
nuclear energy	https://en.wikipedia.org/wiki/Nuclear_power_debate	http://web.archive.org/web/20170127104548/https://en.wikipedia.org/wiki/Nuclear_power_debate	385bd3547708c115b193a95cba6e28d1	Stewart Brand at a 2010 debate , " Does the world need nuclear energy ? "	NoArgument	test
