topic	retrievedUrl	archivedUrl	sentenceHash	sentence	annotation	set
cloning	http://debatepedia.idebate.org/en/index.php/Debate:_Ban_on_human_reproductive_cloning	http://web.archive.org/web/20150914201115/http://debatepedia.idebate.org/en/index.php/Debate:_Ban_on_human_reproductive_cloning	f7c2d384e612a7b3c4b3ffcb7739070d	Aisha.com - " So ... is cloning good or bad ?	NoArgument	val
cloning	https://www.spuc.org.uk/abortion/embryo-abuse/human-cloning	http://web.archive.org/web/20160331084556/https://www.spuc.org.uk/abortion/embryo-abuse/human-cloning	e9283921f5d91ec16d394e325f8a72ea	These alternatives not only avoid the ethical problems inherent in using human embryos but have also been more successful to date .	Argument_for	train
cloning	https://blog.udemy.com/pros-and-cons-of-cloning/	http://web.archive.org/web/20151010222909/https://blog.udemy.com/pros-and-cons-of-cloning/	c6a9bc2b7097cd0b4168952461675992	The same would be said of clones .	NoArgument	test
cloning	http://www.economist.com/node/1125284	http://web.archive.org/web/20160414100831/http://www.economist.com:80/node/1125284	216d8c99c1fcc3c07378948a031a93f7	Senator Landrieu , a supporter of abortion choice , argues that cloning is too unreliable .	Argument_against	train
cloning	http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm	http://web.archive.org/web/20160827143433/http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm	7b963e9659d847f150a829785dfa1668	DNA cloning has been used in genetic engineering to create plants that offer better nutritional value .	Argument_for	train
cloning	http://www.iep.utm.edu/cloning/	http://web.archive.org/web/20160908035543/http://www.iep.utm.edu/cloning/	e8da7e4405302361fc9891a865a9ac1f	It is through cloning that his son could be , in some sense , resurrected .	Argument_for	train
cloning	http://www.un.org/press/en/2005/ga10333.doc.htm	http://web.archive.org/web/20161107193827/http://www.un.org/press/en/2005/ga10333.doc.htm	84d7a14050477d736795ad611ca55ca6	Also , given the threat of dangerous experimentation , it was essential to prohibit reproductive human cloning .	Argument_against	train
cloning	http://vgavirginia.org/10-therapeutic-cloning-pros-and-cons	http://web.archive.org/web/20161023121212/http://vgavirginia.org/10-therapeutic-cloning-pros-and-cons	6823dfa1540dd68e05ad85355547f228	In the process , it can help cure renal problems or damages to kidneys , liver , tissues and many other quintessential elements of the human body .	Argument_for	train
cloning	http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm	http://web.archive.org/web/20160827143433/http://www.wisegeek.com/what-are-the-pros-and-cons-of-cloning.htm	adec39763429f5b326d6c74f00993990	Like a thousand other people , I 'm doing a speech on cloning for school .	NoArgument	val
cloning	http://www.globalchange.com/noclones.htm	http://web.archive.org/web/20160510033753/http://www.globalchange.com:80/noclones.htm	86e2fc874988334bf36b6fc22c5103aa	Cloning can help save lives .	Argument_for	train
cloning	https://www.reference.com/world-view/people-against-cloning-f6dced6c4af38ec2	http://web.archive.org/web/20161008014634/https://www.reference.com/world-view/people-against-cloning-f6dced6c4af38ec2	d9d881583575848e88fb4c3b55d716ab	A : Professional ethics is a term that encompasses the organizational and personal standards of behavior a professional individual is expected to possess .	NoArgument	train
